Time (s),A_x,A_y,A_z,Gyr_x,Gyr_y,Gyr_z,freq,speed,state
58.22809983,-2.994091333,-6.381053578,0.763853356,-0.339676052,-0.46103394,2.38944149,1000.529625,0.179977186,walking
58.27810088,4.526037568,1.696040449,-2.551093411,0.775597155,-0.983390272,1.189053655,1002.42045,0.820965815,walking
58.32810192,1.685200295,1.698953531,1.831487106,0.1642683,-1.212141275,0.008767373,997.1213936,-0.981551662,walking
58.37810296,3.984973654,-0.34684163,0.595114991,1.048055053,-2.572239161,-2.206555843,1001.840882,0.624749632,walking
58.41768965,-0.388369725,-1.875440626,3.514312847,-0.647811532,0.059378877,-1.24206984,1002.282999,0.774451713,walking
58.428104,-0.701020346,-1.819691518,2.427965668,0.731189966,0.466671467,0.037381988,1003.082037,1.044672934,walking
58.47810504,0.067326595,0.529638455,-0.332779369,0.152992666,1.274564266,1.36131835,1001.908632,0.647698735,walking
58.52810608,-0.504669675,-0.240297759,-2.587800477,-1.16706121,0.768534362,-0.352580607,999.8000823,-0.067985622,walking
58.57810713,-1.97442697,0.046777725,-0.667315825,-0.647839785,0.388973653,0.20625855,996.861329,-1.070508108,walking
58.61768965,2.378453492,-2.809867787,-1.220742508,-0.029114049,-0.838343501,1.171666265,996.7185186,-1.119376873,walking
58.62810817,2.726055845,0.565906979,0.833590173,1.084141731,-2.794821501,-1.086750746,998.2682081,-0.589830696,walking
58.70286837,-1.523254641,-2.670709317,0.54227955,-1.005108476,1.614297628,-0.221592426,1004.540657,1.536845125,walking
58.75286942,-0.28917405,-3.245879456,0.918662191,-0.072935037,1.483450174,-0.468728513,998.6713137,-0.452354364,walking
58.80287046,-4.32192618,-1.479454318,-0.405003007,-1.379183531,-0.095267728,-0.034480061,997.7042951,-0.782335671,walking
58.81768965,0.832177486,1.304178182,2.490054327,1.864454508,-1.81792295,0.767064869,997.6875322,-0.788061418,walking
58.8528715,4.367569838,1.048897517,-0.818864838,1.67575407,-1.789064288,-0.047259927,997.8122682,-0.745459693,walking
58.90287254,1.245926173,-1.028041084,0.144946629,2.021838188,-1.295505881,-1.176548362,1003.664079,1.241239012,walking
58.95287358,-1.227463297,0.178973916,-1.621780225,-1.155587196,-0.038111679,-2.31177187,1000.934794,0.317533098,walking
59.00287463,0.652176799,-3.099575688,-1.651957997,-2.854042292,1.330766201,-1.529874206,1000.720231,0.244702208,walking
59.01768965,-5.09004508,-0.057999117,1.991917162,-3.45164609,2.294434786,-1.400270343,1003.240155,1.098094701,walking
